Maze of Horror
10, 9

1,0,1,0,255,50,0
1,8,1,2,0,200,50

0,3,2,0,255,50,0
0,5,2,0,0,200,50
8,4,2,0,255,250,50

# paredes

9,4,6,0,0,0,0
9,3,6,0,0,0,0

0,0,6,0,0,0,0
1,4,6,0,0,0,0
0,4,6,0,0,0,0

2,3,6,0,0,0,0
2,5,6,0,0,0,0
2,4,6,0,0,0,0

9,0,6,0,0,0,0
8,0,6,0,0,0,0
7,0,6,0,0,0,0
6,0,6,0,0,0,0

9,1,6,0,0,0,0
8,1,6,0,0,0,0
7,1,6,0,0,0,0
6,1,6,0,0,0,0

9,8,6,0,0,0,0
8,8,6,0,0,0,0
7,8,6,0,0,0,0
6,8,6,0,0,0,0
5,8,6,0,0,0,0
4,8,6,0,0,0,0

9,7,6,0,0,0,0
8,7,6,0,0,0,0
7,7,6,0,0,0,0
6,7,6,0,0,0,0
5,7,6,0,0,0,0
4,7,6,0,0,0,0

9,6,6,0,0,0,0
8,6,6,0,0,0,0
7,6,6,0,0,0,0
6,6,6,0,0,0,0
5,6,6,0,0,0,0
4,6,6,0,0,0,0

4,5,6,0,0,0,0
4,4,6,0,0,0,0
4,3,6,0,0,0,0

# trampas
1,5,7,0,0,0,0
1,3,7,0,0,0,0

7,2,7,0,0,0,0
6,2,7,0,0,0,0
8,2,7,0,0,0,0


7,5,7,0,0,0,0
6,5,7,0,0,0,0
8,5,7,0,0,0,0

# espejos
4,2,3,0,0,0,0
3,6,3,2,0,0,0
0,1,5,0,0,0,0
0,7,5,0,0,0,0

1,2,3,0,0,0,0
1,6,3,0,0,0,0

2,2,3,0,0,0,0
2,6,3,0,0,0,0
2,5,3,0,0,0,0

2,3,5,0,0,0,0
